date,day,start_time,end_time,duration,session,sl_size_pips,max_rr,max_rr_to_be,htf_strength,trade_strength,final_probability,entry_model,direction,taken,exit_reason,terminal_r,sl_buffer_pips,tp_multiple,min_live_probability,year
May 2 2017,Tuesday,07:15,19:00,83:45,London,20.9,8.15,3.28,28.26%,34.38%,19.64%,CE,bullish,False,friday_close,8.1196,2.0,,22.41%,2017
May 8 2017,Monday,14:15,17:00,02:45,New York,16.0,1.17,,6.25%,19.77%,29.79%,LC-2B,bearish,True,sl,-1.0,2.0,,21.59%,2017
May 30 2017,Tuesday,09:15,13:00,03:45,London,28.2,0.77,,54.35%,40.79%,41.46%,LC-2A,bearish,True,sl,-1.0,2.0,,40.00%,2017
Jun 1 2017,Thursday,07:30,08:00,00:30,London,17.1,0.0,,15.22%,22.86%,22.86%,LC-1,bullish,True,sl,-1.0,2.0,,22.86%,2017
Jun 22 2017,Thursday,12:15,15:00,02:45,New York,13.9,2.74,,28.26%,32.89%,26.83%,LC-2A,bearish,True,sl,-1.0,2.0,,26.83%,2017
Jun 23 2017,Friday,11:00,19:00,08:00,London,45.6,0.76,,-17.39%,31.82%,37.27%,CE,bullish,True,friday_close,0.3706,2.0,,40.00%,2017
Jul 3 2017,Monday,12:30,13:00,00:30,New York,15.0,0.0,,14.29%,12.50%,12.50%,LC-1,bullish,True,sl,-1.0,2.0,,12.50%,2017
Jul 14 2017,Friday,08:30,13:00,04:30,London,19.8,1.14,,21.74%,39.36%,33.33%,LC-2A,bullish,True,sl,-1.0,2.0,,33.33%,2017
Jul 18 2017,Tuesday,08:00,09:00,01:00,London,27.85,1.19,,34.00%,48.68%,31.08%,CE,bullish,True,sl,-1.0,2.0,,31.08%,2017
Jul 21 2017,Friday,07:15,10:00,02:45,London,15.7,0.39,,41.30%,50.00%,52.63%,LC-1,bearish,True,sl,-1.0,2.0,,50.00%,2017
Jul 21 2017,Friday,07:15,10:00,02:45,London,15.7,0.39,,41.30%,50.00%,52.63%,LC-1,bearish,False,sl,-1.0,2.0,,50.00%,2017
Jul 25 2017,Tuesday,08:15,19:00,82:45,London,15.3,12.63,8.22,-12.50%,4.26%,12.79%,LC-2A,bullish,True,friday_close,5.8562,2.0,,-4.65%,2017
Jul 25 2017,Tuesday,13:15,14:00,00:45,New York,19.0,0.0,,22.41%,21.88%,21.88%,LC-2A,bearish,True,sl,-1.0,2.0,,21.88%,2017
Aug 7 2017,Monday,08:30,10:00,01:30,London,25.9,0.0,,43.10%,47.67%,48.86%,LC-2A,bearish,True,sl,-1.0,2.0,,46.43%,2017
Aug 7 2017,Monday,09:45,10:00,00:15,London,14.1,0.06,,43.10%,53.57%,51.16%,LC-1,bearish,False,sl,-1.0,2.0,,51.16%,2017
Aug 15 2017,Tuesday,08:00,09:00,01:00,London,20.1,0.0,,-23.91%,0.00%,0.00%,LC-1,bullish,True,sl,-1.0,2.0,,0.00%,2017
Aug 17 2017,Thursday,08:30,09:00,00:30,London,19.7,0.05,,60.87%,65.71%,65.71%,LC-1,bearish,True,sl,-1.0,2.0,,65.71%,2017
Aug 21 2017,Monday,09:15,10:00,00:45,London,13.1,0.0,,47.83%,50.00%,61.43%,LC-1,bearish,True,sl,-1.0,2.0,,61.43%,2017
Aug 25 2017,Friday,08:45,19:00,10:15,London,19.6,2.33,,-17.39%,25.00%,10.00%,LC-2B,bullish,True,friday_close,1.1735,2.0,,3.85%,2017
Sep 1 2017,Friday,09:30,19:00,09:30,London,14.6,5.22,,21.74%,37.50%,22.73%,LC-1,bullish,True,friday_close,4.4247,2.0,,20.31%,2017
Sep 29 2017,Friday,08:15,19:00,10:45,London,33.55,2.29,,-4.35%,21.05%,18.57%,CE,bearish,True,friday_close,0.7228,2.0,,1.56%,2017
Oct 2 2017,Monday,08:00,19:00,107:00,London,19.2,19.31,7.69,2.17%,25.00%,41.67%,CE,bearish,True,friday_close,18.5781,2.0,,15.00%,2017
Oct 9 2017,Monday,07:45,08:00,00:15,London,20.8,0.09,,25.00%,33.65%,32.08%,LC-1,bearish,True,sl,-1.0,2.0,,32.08%,2017
Oct 11 2017,Wednesday,07:15,08:00,00:45,London,11.0,0.0,,15.62%,21.88%,21.88%,LC-2A,bullish,True,sl,-1.0,2.0,,21.88%,2017
Oct 16 2017,Monday,10:00,19:00,09:00,London,15.7,3.02,3.02,28.26%,20.00%,36.36%,LC-1,bearish,True,be_stop,0.0,2.0,,27.42%,2017
Oct 18 2017,Wednesday,15:00,16:00,01:00,New York,21.3,0.0,,40.91%,52.13%,41.18%,LC-2A,bearish,True,sl,-1.0,2.0,,41.18%,2017
Nov 3 2017,Friday,14:15,15:00,00:45,New York,31.9,0.0,,55.41%,52.50%,53.28%,LC-2A,bearish,True,sl,-1.0,2.0,,53.28%,2017
Nov 20 2017,Monday,09:15,10:00,00:45,London,17.0,0.0,,32.26%,26.60%,26.60%,LC-2A,bearish,True,sl,-1.0,2.0,,26.60%,2017
Nov 22 2017,Wednesday,13:30,19:00,05:30,New York,19.5,1.54,,4.00%,33.33%,26.67%,LC-1,bullish,True,cut_19h,-0.0308,2.0,,25.00%,2017
Nov 24 2017,Friday,09:15,10:00,00:45,London,15.9,0.0,,28.26%,40.70%,38.64%,LC-2A,bearish,True,sl,-1.0,2.0,,38.64%,2017
Dec 13 2017,Wednesday,08:15,19:00,10:45,London,21.75,2.22,,15.22%,49.00%,49.00%,CE,bullish,True,cut_19h,-0.9218,2.0,,45.45%,2017
Dec 20 2017,Wednesday,07:30,08:00,00:30,London,13.2,0.0,,19.64%,30.77%,25.00%,LC-2A,bearish,True,sl,-1.0,2.0,,25.00%,2017
Jan 3 2018,Wednesday,13:45,14:00,00:15,New York,13.9,0.0,,37.10%,37.50%,37.50%,LC-1,bullish,True,sl,-1.0,2.0,,37.50%,2018
Jan 17 2018,Wednesday,08:15,19:00,58:45,London,27.3,7.03,5.74,8.70%,35.23%,15.62%,LC-2A,bullish,True,friday_close,2.663,2.0,,12.07%,2018
Jan 19 2018,Friday,08:30,19:00,10:30,London,26.3,3.33,,-4.35%,11.22%,30.00%,LC-1,bearish,True,friday_close,2.2776,2.0,,11.22%,2018
Jan 26 2018,Friday,12:15,19:00,06:45,New York,25.8,8.44,,15.22%,26.92%,32.89%,LC-2A,bearish,True,friday_close,6.8566,2.0,,25.00%,2018
Jan 26 2018,Friday,12:15,19:00,06:45,New York,25.8,8.44,,8.70%,23.08%,28.95%,LC-2A,bearish,False,friday_close,6.8566,2.0,,21.05%,2018
Jan 31 2018,Wednesday,13:30,14:00,00:30,New York,19.8,0.0,,12.50%,9.30%,16.67%,LC-2A,bearish,True,sl,-1.0,2.0,,16.67%,2018
Feb 19 2018,Monday,07:15,09:00,01:45,London,14.6,0.92,,34.78%,36.25%,33.82%,LC-2A,bearish,True,sl,-1.0,2.0,,33.82%,2018
Mar 6 2018,Tuesday,12:30,13:00,72:30,New York,17.4,9.12,4.68,34.78%,27.14%,46.15%,LC-2A,bearish,True,be_stop,0.0,2.0,,27.14%,2018
Mar 19 2018,Monday,08:15,09:00,00:45,London,27.6,0.0,,30.77%,40.79%,33.33%,LC-2A,bearish,True,sl,-1.0,2.0,,33.33%,2018
Mar 23 2018,Friday,08:30,09:00,00:30,London,27.05,0.0,,11.76%,18.75%,25.00%,CE,bullish,True,sl,-1.0,2.0,,25.00%,2018
Apr 2 2018,Monday,14:00,09:00,19:00,New York,16.3,7.01,7.01,22.58%,35.00%,26.53%,LC-1,bearish,True,be_stop,0.0,2.0,,21.59%,2018
Apr 4 2018,Wednesday,07:45,08:00,00:15,London,15.3,0.0,,15.22%,37.50%,35.14%,LC-1,bullish,True,sl,-1.0,2.0,,35.14%,2018
Apr 6 2018,Friday,08:00,09:00,01:00,London,15.6,0.0,,15.22%,28.75%,32.50%,LC-2A,bearish,True,sl,-1.0,2.0,,32.50%,2018
Apr 6 2018,Friday,08:00,09:00,01:00,London,15.6,0.0,,15.22%,28.75%,32.50%,LC-2A,bearish,False,sl,-1.0,2.0,,32.50%,2018
Apr 24 2018,Tuesday,08:15,09:00,00:45,London,15.3,0.0,,-10.87%,12.79%,14.29%,LC-2A,bullish,True,sl,-1.0,2.0,,14.29%,2018
May 2 2018,Wednesday,12:15,19:00,54:45,New York,12.8,22.42,4.55,41.30%,39.29%,37.93%,LC-2A,bearish,True,friday_close,16.9687,2.0,,39.29%,2018
